Mod:Item:MetaData, Localized Name
OpenComputers:motionSensor:0, Motion Sensor
OpenComputers:powerConverter:0, Power Converter
OpenComputers:powerDistributor:0, Power Distributor
OpenComputers:raid:0, Raid
OpenComputers:redstone:0, Redstone I/O
OpenComputers:relay:0, Relay
OpenComputers:screen1:0, Screen (Tier 1)
OpenComputers:screen3:0, Screen (Tier 3)
OpenComputers:screen2:0, Screen (Tier 2)
OpenComputers:rack:0, Rack
OpenComputers:switch:0, §cSwitch§7
OpenComputers:caseCreative:0, Computer Case (Creative)
OpenComputers:microcontroller:0, Microcontroller
OpenComputers:robotAfterimage:0, Robot
OpenComputers:robot:0, Robot.name
OpenComputers:print:0, 3D Print
OpenComputers:printer:0, 3D Printer
OpenComputers:chameliumBlock:0, Block of Chamelium
OpenComputers:waypoint:0, Waypoint
OpenComputers:endstone:0, End Stone
OpenComputers:netSplitter:0, Net Splitter
OpenComputers:transposer:0, Transposer
PneumaticCraft:plasticBlock, tile.plasticBlock.name
PneumaticCraft:etchingAcid, Etching Acid
PneumaticCraft:lpg, LPG
PneumaticCraft:fuel, Gasoline
PneumaticCraft:kerosene, Kerosene
PneumaticCraft:diesel, Diesel
PneumaticCraft:oil, Oil
PneumaticCraft:lubricant, Lubricant
PneumaticCraft:pressureTube, Pressure Tube
PneumaticCraft:airCompressor, Air Compressor
PneumaticCraft:advancedAirCompressor, Advanced Air Compressor
PneumaticCraft:airCannon, Air Cannon
PneumaticCraft:pressureChamberWall:0, Pressure Chamber Wall
PneumaticCraft:pressureChamberWall:6, Pressure Chamber Window
PneumaticCraft:pressureChamberValve, Pressure Chamber Valve
PneumaticCraft:slimePlant, Slime Plant
PneumaticCraft:creeperPlant, Creeper Plant
PneumaticCraft:squidPlant, Squid Plant
PneumaticCraft:fireFlower, Fire Flower
PneumaticCraft:rainPlant, Rain Plant
PneumaticCraft:enderPlant, Ender Plant
PneumaticCraft:lightningPlant, Lightning Plant
PneumaticCraft:burstPlant, Burst Plant
PneumaticCraft:potionPlant, Potion Plant
PneumaticCraft:heliumPlant, Helium Plant
PneumaticCraft:propulsionPlant, Propulsion Plant
PneumaticCraft:repulsionPlant, Repulsion Plant
PneumaticCraft:flyingFlower, Flying Flower
PneumaticCraft:chopperPlant, Chopper Plant
PneumaticCraft:chargingStation, Charging Station
PneumaticCraft:elevatorBase, Elevator Base
PneumaticCraft:elevatorFrame, Elevator Frame
PneumaticCraft:pressureChamberInterface, Pressure Chamber Interface
PneumaticCraft:vacuumPump, Vacuum Pump
PneumaticCraft:pneumaticDoorBase, Pneumatic Door Base
PneumaticCraft:pneumaticDoor, Pneumatic Door
PneumaticCraft:assemblyIOUnit, Assembly IO Unit
PneumaticCraft:assemblyPlatform, Assembly Platform
PneumaticCraft:assemblyDrill, Assembly Drill
PneumaticCraft:assemblyLaser, Assembly Laser
PneumaticCraft:assemblyController, Assembly Controller
PneumaticCraft:advancedPressureTube, Advanced Pressure Tube
PneumaticCraft:compressedIronBlock, Block of Compressed Iron
PneumaticCraft:uvLightBox, UV Light Box
PneumaticCraft:securityStation, Security Station
PneumaticCraft:universalSensor, Universal Sensor
PneumaticCraft:aerialInterface, Aerial Interface
PneumaticCraft:electrostaticCompressor, Electrostatic Compressor
PneumaticCraft:aphorismTile, Aphorism Tile
PneumaticCraft:omnidirectionalHopper, Omnidirectional Hopper
PneumaticCraft:liquidHopper, Liquid Hopper
PneumaticCraft:elevatorCaller, Elevator Caller
PneumaticCraft:programmer, Programmer
PneumaticCraft:creativeCompressor, Creative Compressor
PneumaticCraft:plasticMixer, Plastic Mixer
PneumaticCraft:liquidCompressor, Liquid Compressor
PneumaticCraft:advancedLiquidCompressor, Advanced Liquid Compressor
PneumaticCraft:droneRedstoneEmitter, tile.droneRedstoneEmitter.name
PneumaticCraft:heatSink, Heat Sink
PneumaticCraft:vortexTube, Vortex Tube
PneumaticCraft:programmableController, Programmable Controller
PneumaticCraft:gasLift, Gas Lift
PneumaticCraft:refinery, Refinery
PneumaticCraft:thermopneumaticProcessingPlant, Thermopneumatic Processing Plant
PneumaticCraft:keroseneLamp, Kerosene Lamp
PneumaticCraft:keroseneLampLight, tile.keroseneLampLight.name
PneumaticCraft:sentryTurret, Sentry Turret
PneumaticCraft:pneumaticDynamo, Pneumatic Dynamo
PneumaticCraft:fluxCompressor, Flux Compressor
PneumaticCraft:droneInterface, Drone Interface
RedstoneArsenal:Storage:0, Fluxed Electrum Block
RedstoneArsenal:Storage:1, Flux Crystal Block
secretroomsmod:TorchLever, Torch Lever
secretroomsmod:OneWayGlass, One-Way Glass
secretroomsmod:CamoGate, Secret Gate
secretroomsmod:CamoDummy, tile.CamoDummy.name
secretroomsmod:SecretTrapDoor, Secret TrapDoor
secretroomsmod:SecretWoodenDoorBlock, Secret Wooden Door
secretroomsmod:SecretIronDoorBlock, Secret Iron Door
secretroomsmod:GhostBlock, Ghost Block
secretroomsmod:SecretCamoLever, Secret lever
secretroomsmod:SecretCamoRedstone, Secret Redstone
secretroomsmod:SecretCamoButton:0, Secret Stone Button
secretroomsmod:SecretCamoButton:1, Secret Wood Button
secretroomsmod:SecretPressurePlate, Secret Pressure Plate
secretroomsmod:SecretPlayerPlate, Secret Player Plate
secretroomsmod:SecretLightPlate, Secret Weighted Plate (light)
secretroomsmod:SecretHeavyPlate, Secret Weighted Plate (heavy)
secretroomsmod:SecretStair, Secret Stairs
secretroomsmod:SecretChest, Secret Chest
secretroomsmod:SecretTrappedChest, Secret Trapped Chest
secretroomsmod:SecretLightDetector, Secret Light Detector
secretroomsmod:SolidAir, Solid Air
TofuCraft:blockTofuTerrain, Tofu Block
TofuCraft:tofuFarmland, Cultivated Tofu
TofuCraft:blockTofuKinu, Kinugoshi Tofu Block
TofuCraft:blockTofuMomen, Momen Tofu Block
TofuCraft:blockTofuIshi, Solid Tofu Block
TofuCraft:blockTofuMetal, Metal Tofu Block
TofuCraft:blockTofuGrilled, Grilled Tofu Block
TofuCraft:blockTofuDried, Koya-Tofu Block
TofuCraft:blockTofuFriedPouch, Fried Tofu Pouch Block
TofuCraft:blockTofuFried, Fried Tofu Block
TofuCraft:blockTofuEgg, Egg Tofu Block
TofuCraft:blockTofuAnnin, Annin-Tofu Block
TofuCraft:blockTofuSesame, Sesame Tofu Block
TofuCraft:blockTofuZunda, Zunda Tofu Block
TofuCraft:blockTofuStrawberry, Strawberry Tofu Block
TofuCraft:blockTofuMiso, Miso Tofu Block
TofuCraft:blockTofuHell, Hell Tofu Block
TofuCraft:blockTofuGlow, Glow Tofu Block
TofuCraft:blockTofuDiamond, Diamond Tofu Block
TofuCraft:blockTofuMinced, Minced Tofu Block
TofuCraft:blockOreTofu, Tofu Ore
TofuCraft:blockOreTofuDiamond, Tofu Diamond Ore
TofuCraft:soymilkStill, Soy Milk
TofuCraft:soymilkHellStill, Hell Soy Milk
TofuCraft:soySauceStill, Soy Sauce
TofuCraft:tcLeaves:0, Apricot Leaves
TofuCraft:tcLeaves:1, Apricot Leaves
TofuCraft:tcLeaves:2, Tofu Leaves
TofuCraft:tcWood:0, Apricot Wood
TofuCraft:tfMachineCase, Tofu Machine Case
TofuCraft:blockLeek:0, Green Onion
TofuCraft:blockNatto, Natto Block
TofuCraft:blockSalt, Salt Block
TofuCraft:blockAdvTofuGem, High-Powered Tofu Gem Block
TofuCraft:chikuwaPlatformTofu, Tofu Chikuwa Platform Block
TofuCraft:chikuwaPlatformPlain, Chikuwa Platform Block
TofuCraft:tofuStairsKinu, Kinugoshi Tofu Stairs
TofuCraft:tofuStairsMomen, Momen Tofu Stairs
TofuCraft:tofuStairsIshi, Solid Tofu Stairs
TofuCraft:tofuStairsMetal, Metal Tofu Stairs
TofuCraft:tofuStairsGrilled, Grilled Tofu Stairs
TofuCraft:tofuStairsDried, Koya-Tofu Stairs
TofuCraft:tofuStairsFriedPouch, Fried Tofu Pouch Stairs
TofuCraft:tofuStairsFried, Fried Tofu Stairs
TofuCraft:tofuStairsEgg, Egg Tofu Stairs
TofuCraft:tofuStairsAnnin, Annin-Tofu Stairs
TofuCraft:tofuStairsSesame, Sesame Tofu Stairs
TofuCraft:tofuStairsZunda, Zunda Tofu Stairs
TofuCraft:tofuStairsStrawberry, Strawberry Tofu Stairs
TofuCraft:tofuStairsHell, Hell Tofu Stairs
TofuCraft:tofuStairsGlow, Glow Tofu Stairs
TofuCraft:tofuStairsDiamond, Diamond Tofu Stairs
TofuCraft:tofuStairsMiso, Miso Tofu Stairs
TofuCraft:tofuSingleSlab1:0, Kinugoshi Tofu Slab
TofuCraft:tofuSingleSlab1:1, Momen Tofu Slab
TofuCraft:tofuSingleSlab1:2, Solid Tofu Slab
TofuCraft:tofuSingleSlab1:3, Metal Tofu Slab
TofuCraft:tofuSingleSlab1:5, Koya-Tofu Slab
TofuCraft:tofuSingleSlab1:6, Fried Tofu Pouch Slab
TofuCraft:tofuSingleSlab1:7, Fried Tofu Slab
TofuCraft:tofuSingleSlab2:0, Egg Tofu Slab
TofuCraft:tofuSingleSlab2:1, Annin-Tofu Tofu Slab
TofuCraft:tofuSingleSlab2:2, Sesame Tofu Slab
TofuCraft:tofuSingleSlab2:3, Zunda Tofu Slab
TofuCraft:tofuSingleSlab2:4, Strawberry Tofu Slab
TofuCraft:tofuSingleSlab2:5, Hell Tofu Slab
TofuCraft:tofuSingleSlab2:7, Diamond Tofu Slab
TofuCraft:tofuSingleSlab3:0, Miso Tofu Slab
TofuCraft:tofuSingleSlabFaces, Grilled Tofu Slab
TofuCraft:tofuDoubleSlabFaces, Grilled Tofu Slab
TofuCraft:tofuSingleSlabGlow:0, Glow Tofu Slab
TofuCraft:tofuDoorKinu, %s Door
TofuCraft:tofuDoorMomen, %s Door
TofuCraft:tofuDoorIshi, %s Door
TofuCraft:tofuDoorMetal, %s Door
TofuCraft:tofuDoorGrilled, %s Door
TofuCraft:tofuDoorDried, %s Door
TofuCraft:tofuDoorFriedPouch, %s Door
TofuCraft:tofuDoorFried, %s Door
TofuCraft:tofuDoorEgg, %s Door
TofuCraft:tofuDoorAnnin, %s Door
TofuCraft:tofuDoorSesame, %s Door
TofuCraft:tofuDoorZunda, %s Door
TofuCraft:tofuDoorStrawberry, %s Door
TofuCraft:tofuDoorHell, %s Door
TofuCraft:tofuDoorGlow, %s Door
TofuCraft:tofuDoorDiamond, %s Door
TofuCraft:tofuDoorMiso, %s Door
TofuCraft:tofuWallKinu, %s Wall
TofuCraft:tofuWallMomen, %s Wall
TofuCraft:tofuWallIshi, %s Wall
TofuCraft:tofuWallMetal, %s Wall
TofuCraft:tofuWallGrilled, %s Wall
TofuCraft:tofuWallDried, %s Wall
TofuCraft:tofuWallFriedPouch, %s Wall
TofuCraft:tofuWallFried, %s Wall
TofuCraft:tofuWallEgg, %s Wall
TofuCraft:tofuWallAnnin, %s Wall
TofuCraft:tofuWallSesame, %s Wall
TofuCraft:tofuWallZunda, %s Wall
TofuCraft:tofuWallStrawberry, %s Wall
TofuCraft:tofuWallHell, %s Wall
TofuCraft:tofuWallGlow, %s Wall
TofuCraft:tofuWallDiamond, %s Wall
TofuCraft:tofuWallMiso, %s Wall
TofuCraft:tofuTorchKinu, %s Torch
TofuCraft:tofuTorchMomen, %s Torch
TofuCraft:tofuTorchIshi, %s Torch
TofuCraft:tofuTorchMetal, %s Torch
TofuCraft:tofuTorchGrilled, %s Torch
TofuCraft:tofuTorchDried, %s Torch
TofuCraft:tofuTorchFriedPouch, %s Torch
TofuCraft:tofuTorchFried, %s Torch
TofuCraft:tofuTorchEgg, %s Torch
TofuCraft:tofuTorchAnnin, %s Torch
TofuCraft:tofuTorchSesame, %s Torch
TofuCraft:tofuTorchZunda, %s Torch
TofuCraft:tofuTorchStrawberry, %s Torch
TofuCraft:tofuTorchHell, %s Torch
TofuCraft:tofuTorchDiamond, %s Torch
TofuCraft:tofuTorchMiso, %s Torch
TofuCraft:tofuFenceGateKinu, %s Fence Gate
TofuCraft:tofuFenceGateMomen, %s Fence Gate
TofuCraft:tofuFenceGateIshi, %s Fence Gate
TofuCraft:tofuFenceGateMetal, %s Fence Gate
TofuCraft:tofuFenceGateGrilled, %s Fence Gate
TofuCraft:tofuFenceGateDried, %s Fence Gate
TofuCraft:tofuFenceGateFriedPouch, %s Fence Gate
TofuCraft:tofuFenceGateFried, %s Fence Gate
TofuCraft:tofuFenceGateEgg, %s Fence Gate
TofuCraft:tofuFenceGateAnnin, %s Fence Gate
TofuCraft:tofuFenceGateSesame, %s Fence Gate
TofuCraft:tofuFenceGateZunda, %s Fence Gate
TofuCraft:tofuFenceGateStrawberry, %s Fence Gate
TofuCraft:tofuFenceGateHell, %s Fence Gate
TofuCraft:tofuFenceGateGlow, %s Fence Gate
TofuCraft:tofuFenceGateDiamond, %s Fence Gate
TofuCraft:tofuFenceGateMiso, %s Fence Gate
TofuCraft:tofuTrapdoorKinu, %s Trapdoor
TofuCraft:tofuTrapdoorMomen, %s Trapdoor
TofuCraft:tofuTrapdoorIshi, %s Trapdoor
TofuCraft:tofuTrapdoorMetal, %s Trapdoor
TofuCraft:tofuTrapdoorGrilled, %s Trapdoor
TofuCraft:tofuTrapdoorDried, %s Trapdoor
TofuCraft:tofuTrapdoorFriedPouch, %s Trapdoor
TofuCraft:tofuTrapdoorFried, %s Trapdoor
TofuCraft:tofuTrapdoorEgg, %s Trapdoor
TofuCraft:tofuTrapdoorAnnin, %s Trapdoor
TofuCraft:tofuTrapdoorSesame, %s Trapdoor
TofuCraft:tofuTrapdoorZunda, %s Trapdoor
TofuCraft:tofuTrapdoorStrawberry, %s Trapdoor
TofuCraft:tofuTrapdoorHell, %s Trapdoor
TofuCraft:tofuTrapdoorGlow, %s Trapdoor
TofuCraft:tofuTrapdoorDiamond, %s Trapdoor
TofuCraft:tofuTrapdoorMiso, %s Trapdoor
TofuCraft:tofuLadderKinu, %s Ladder
TofuCraft:tofuLadderMomen, %s Ladder
TofuCraft:tofuLadderIshi, %s Ladder
TofuCraft:tofuLadderMetal, %s Ladder
TofuCraft:tofuLadderGrilled, %s Ladder
TofuCraft:tofuLadderDried, %s Ladder
TofuCraft:tofuLadderFriedPouch, %s Ladder
TofuCraft:tofuLadderFried, %s Ladder
TofuCraft:tofuLadderEgg, %s Ladder
TofuCraft:tofuLadderAnnin, %s Ladder
TofuCraft:tofuLadderSesame, %s Ladder
TofuCraft:tofuLadderZunda, %s Ladder
TofuCraft:tofuLadderStrawberry, %s Ladder
TofuCraft:tofuLadderHell, %s Ladder
TofuCraft:tofuLadderGlow, %s Ladder
TofuCraft:tofuLadderDiamond, %s Ladder
TofuCraft:tofuLadderMiso, %s Ladder
TofuCraft:soybeans, Soybean
TofuCraft:soybeansHell, Hell Soybean
TofuCraft:blockSprouts, Sprouts
TofuCraft:blockSesame, Sesame
TofuCraft:tcSapling:0, Apricot Sapling
TofuCraft:tcSapling:1, Tofu Sapling
TofuCraft:saltFurnaceIdle, Salt Furnace
TofuCraft:saltFurnaceActive, Salt Furnace
TofuCraft:blockBarrelMiso, Miso Barrel
TofuCraft:blockBarrelMisoTofu, Miso Tofu Barrel
TofuCraft:blockBarrelGlowtofu, Glowtofu Barrel
TofuCraft:blockBarrelAdvTofuGem, Tofu Gem Barrel
TofuCraft:blockTofuCake, Tofu Cake
TofuCraft:blockTofuPortal, Tofu Portal Block
TofuCraft:blockMorijio, Morijio
TofuCraft:nattoBed, Natto Bed
TofuCraft:blockYuba, Yuba
TofuCraft:blockSaltPan, Salt Pan
TofuCraft:tfStorageIdle, Tofu Force Storage
TofuCraft:tfStorageActive, Tofu Force Storage
TofuCraft:tfAntenna, TF Antenna
TofuCraft:tfAntennaU, TF Ultrawave Antenna
TofuCraft:tfAntennaS, TF Superwave Antenna
TofuCraft:tfSaturatorIdle, TF Saturator
TofuCraft:tfSaturatorActive, TF Saturator
TofuCraft:tfCollector, TF Collector
TofuCraft:tfCondenserIdle, TF Condenser
TofuCraft:tfCondenserActive, TF Condenser
TofuCraft:tfOvenIdle, TF Oven
TofuCraft:tfOvenActive, TF Oven
TofuCraft:tfReformerIdle:0, TF Reformer
TofuCraft:tfReformerIdle:1, TF Mix Reformer
TofuCraft:tfReformerActive, tile.tofucraft:tfReformer.name
StevesFactoryManager:BlockMachineManagerName, Machine Inventory Manager
StevesFactoryManager:BlockCableName, Inventory Cable
StevesFactoryManager:BlockCableRelayName:0, Inventory Relay
StevesFactoryManager:BlockCableRelayName:8, Advanced Inventory Relay
StevesFactoryManager:BlockCableOutputName, Redstone Emitter
StevesFactoryManager:BlockCableInputName, Redstone Receiver
StevesFactoryManager:BlockCableCreativeName, Creative Supplier
StevesFactoryManager:BlockCableIntakeName:0, Item Valve
StevesFactoryManager:BlockCableIntakeName:8, Rapid Item Valve
StevesFactoryManager:BlockCableBUDName, Block Detector
StevesFactoryManager:BlockCableBreakerName, Block Gate
StevesFactoryManager:BlockCableClusterName:0, Cable Cluster
StevesFactoryManager:BlockCableClusterName:8, Advanced Cable Cluster
StevesFactoryManager:BlockCableCamouflageName:0, Cable Camouflage
StevesFactoryManager:BlockCableCamouflageName:1, Double Sided Cable Camouflage
StevesFactoryManager:BlockCableCamouflageName:2, Transforming Cable Camouflage
StevesFactoryManager:BlockCableSignName, Sign Updater
Sync:Sync_ShellConstructor, Shell Constructor
TabulaRasa:RasaBlock0:0, BlockRasa
TabulaRasa:RasaBlock0:1, BlockRasa
TabulaRasa:RasaBlock0:2, BlockRasa
TabulaRasa:RasaBlock0:3, BlockRasa
TabulaRasa:RasaBlock0:4, BlockRasa
TabulaRasa:RasaBlock0:5, BlockRasa
TabulaRasa:RasaBlock0:6, BlockRasa
TabulaRasa:RasaBlock0:7, BlockRasa
TabulaRasa:RasaBlock0:8, BlockRasa
TabulaRasa:RasaBlock0:9, BlockRasa
TabulaRasa:RasaBlock0:10, BlockRasa
TabulaRasa:RasaBlock0:11, BlockRasa
TabulaRasa:RasaBlock0:12, BlockRasa
TabulaRasa:RasaBlock0:13, BlockRasa
TabulaRasa:RasaBlock0:14, BlockRasa
TabulaRasa:RasaBlock0:15, BlockRasa
camping:lantern:0, Lantern On
camping:lantern:1, Lantern Off
camping:light, tile.light.name
camping:campfire, Decorative Campfire
camping:campfireCook, Cooking Campfire
camping:logSeat, Log Seat
camping:hemp, Hemp
camping:sleepingBag:0, Sleeping Bag
camping:boundsHelper, Bounds Helper Block
camping:tent, Tent
camping:trap, Bear Trap
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
ThermalDynamics:ThermalDynamics_0:7, Cryo-Stabilized Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_16:0, Temperate Fluiduct
ThermalDynamics:ThermalDynamics_16:1, Temperate Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:2, Hardened Fluiduct
ThermalDynamics:ThermalDynamics_16:3, Hardened Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:4, Flux-Plated Fluiduct
ThermalDynamics:ThermalDynamics_16:5, Flux-Plated Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:6, Super-Laminar Fluiduct
ThermalDynamics:ThermalDynamics_16:7, Super-Laminar Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_32:0, Itemduct
ThermalDynamics:ThermalDynamics_32:1, Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:2, Impulse Itemduct
ThermalDynamics:ThermalDynamics_32:3, Impulse Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:4, Warp Itemduct
ThermalDynamics:ThermalDynamics_32:5, Warp Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:6, Fluctuating Itemduct
ThermalDynamics:ThermalDynamics_32:7, Fluctuating Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_48:0, Structuralduct (Opaque)
ThermalDynamics:ThermalDynamics_48:1, Luxduct
ThermalDynamics:ThermalDynamics_64:0, Viaduct
ThermalDynamics:ThermalDynamics_64:1, Long Range Viaduct
ThermalDynamics:ThermalDynamics_64:2, Long Range Linking Viaduct
ThermalDynamics:ThermalDynamics_64:3, Viaduct (Untreated)
thirstmod:tile.drinks_store, Drinks Store
thirstmod:tile.drinks_brewer, Drinks Brewer
thirstmod:tile.rain_collector, Rain Collector
TiConAutoToolStation:ats_autotoolstation, Auto Tool Station
TofuFactory:oreMithril, Mithril Ore
TofuFactory:oreMithrilTofu, Mithril Tofu Ore
TofuFactory:blockTofuMetal:0, Tofu Steel Block
TofuFactory:blockTofuMetal:1, Mithril Tofu Block
TofuFactory:blockTofuMetal:2, Solar Block
TofuFactory:blockTofuMetal:3, Lunar Block
TofuFactory:Pulverizer, TF Pulverizer
TofuFactory:PulverizerActive, TF Pulverizer
TofuFactory:Compactor, TF Compactor
TofuFactory:CompactorActive, TF Compactor
TofuFactory:CuttingMachine, TF Cutting Machine
TofuFactory:CuttingMachineActive, TF Cutting Machine
witchery:belladonna, Belladonna
witchery:mandrake, Mandrake
witchery:artichoke, Water Artichoke
witchery:snowbell, Snowbell
witchery:wormwood, Wormwood
witchery:mindrake, Minedrake
witchery:wolfsbane, Wolfsbane
witchery:garlicplant, Garlic
witchery:witchsapling:0, Rowan Sapling
witchery:witchsapling:1, Alder Sapling
witchery:witchsapling:2, Hawthorn Sapling
witchery:witchlog:0, Rowan Wood
witchery:witchlog:1, Alder Wood
witchery:witchlog:2, Hawthorn Wood
witchery:witchleaves:0, Rowan Leaves
witchery:witchleaves:1, Alder Leaves
witchery:witchleaves:2, Hawthorn Leaves
witchery:voidbramble, Void Bramble
witchery:bramble:0, Ender Bramble
witchery:bramble:1, Wild Bramble
witchery:glintweed, Glint Weed
witchery:spanishmoss, Spanish Moss
witchery:leapinglily, Leaping Lily
witchery:plantmine:0, Poppy of Webs
witchery:plantmine:1, Poppy of Ink
witchery:plantmine:2, Poppy of Thorns
witchery:plantmine:3, Poppy of Sprouting
witchery:plantmine:4, Dandelion of Webs
witchery:plantmine:5, Dandelion of Ink
witchery:plantmine:6, Dandelion of Thorns
witchery:plantmine:7, Dandelion of Sprouting
witchery:plantmine:8, Shrub of Webs
witchery:plantmine:9, Shrub of Ink
witchery:plantmine:10, Shrub of Thorns
witchery:plantmine:11, Shrub of Sprouting
witchery:embermoss, Ember Moss
witchery:crittersnare:0, Critter Snare
witchery:grassper, Grassper
witchery:bloodrose, Blood Poppy
witchery:somniancotton, Wispy Cotton
witchery:web, Web
witchery:vine, Vine
witchery:cactus, Cactus
witchery:lilypad, tile.lilypad.name
witchery:demonheart, Demon Heart
witchery:wolfhead:0, Wolf Head
witchery:wolfhead:1, Hellhound Head
witchery:witchwood:0, Rowan Planks
witchery:witchwood:1, Alder Planks
witchery:witchwood:2, Hawthorn Planks
witchery:stairswoodrowan, Rowan Stairs
witchery:stairswoodalder, Alder Stairs
witchery:stairswoodhawthorn, Hawthorn Stairs
witchery:witchwoodslab:0, Rowan Slab
witchery:witchwoodslab:1, Alder Slab
witchery:witchwoodslab:2, Hawthorn Slab
witchery:witchwooddoubleslab:0, Rowan Slab
witchery:witchwooddoubleslab:1, Alder Slab
witchery:witchwooddoubleslab:2, Hawthorn Slab
witchery:rowanwooddoor, Rowan Wood Door
witchery:alderwooddoor, Alder Wood Door
witchery:chalice, Chalice
witchery:candelabra, Candelabra
witchery:placeditem, tile.witchery:placeditem.name
witchery:alluringskull, Alluring Skull
witchery:wickerbundle:0, Wicker Bundle
witchery:wickerbundle:1, Bloodied Wicker Bundle
witchery:glowglobe, Glow Globe
witchery:statuegoddess, Statue of The Goddess
witchery:stockade:0, Oak Stockade
witchery:stockade:1, Spruce Stockade
witchery:stockade:2, Birch Stockade
witchery:stockade:3, Jungle Stockade
witchery:stockade:4, Rowan Stockade
witchery:stockade:5, Alder Stockade
witchery:stockade:6, Hawthorn Stockade
witchery:stockade:7, Acacia Stockade
witchery:stockade:8, Dark Oak Stockade
witchery:icestockade:0, Ice Stockade
witchery:perpetualice, Perpetual Ice
witchery:icedoor, Ice Door
witchery:icestairs, Ice Stairs
witchery:iceslab:0, Ice Slab
witchery:icedoubleslab:0, Ice Slab
witchery:icefence, Ice Fence
witchery:icefencegate, Ice Gate
witchery:icepressureplate, Ice Pressure Plate
witchery:snowpressureplate, Snow Pressure Plate
witchery:snowstairs, Snow Stairs
witchery:snowslab:0, Snow Slab
witchery:snowdoubleslab:0, Snow Slab
witchery:infinityegg, Infinity Egg
witchery:slurp, tile.witchery:slurp.name
witchery:pitdirt, Dirt
witchery:pitgrass, Grass
witchery:garlicgarland, Garlic Garland
witchery:bloodedwool, Blood-stained Wool
witchery:shadedglass:0, White Shaded Glass
witchery:shadedglass:1, Orange Shaded Glass
witchery:shadedglass:2, Magenta Shaded Glass
witchery:shadedglass:3, Light Blue Shaded Glass
witchery:shadedglass:4, Yellow Shaded Glass
witchery:shadedglass:5, Lime Shaded Glass
witchery:shadedglass:6, Pink Shaded Glass
witchery:shadedglass:7, Gray Shaded Glass
witchery:shadedglass:8, Silver Shaded Glass
witchery:shadedglass:9, Cyan Shaded Glass
witchery:shadedglass:10, Purple Shaded Glass
witchery:shadedglass:11, Blue Shaded Glass
witchery:shadedglass:12, Brown Shaded Glass
witchery:shadedglass:13, Green Shaded Glass
witchery:shadedglass:14, Red Shaded Glass
witchery:shadedglass:15, Black Shaded Glass
witchery:shadedglass_active:0, White Shaded Glass
witchery:shadedglass_active:1, Orange Shaded Glass
witchery:shadedglass_active:2, Magenta Shaded Glass
witchery:shadedglass_active:3, Light Blue Shaded Glass
witchery:shadedglass_active:4, Yellow Shaded Glass
witchery:shadedglass_active:5, Lime Shaded Glass
witchery:shadedglass_active:6, Pink Shaded Glass
witchery:shadedglass_active:7, Gray Shaded Glass
witchery:shadedglass_active:8, Silver Shaded Glass
witchery:shadedglass_active:9, Cyan Shaded Glass
witchery:shadedglass_active:10, Purple Shaded Glass
witchery:shadedglass_active:11, Blue Shaded Glass
witchery:shadedglass_active:12, Brown Shaded Glass
witchery:shadedglass_active:13, Green Shaded Glass
witchery:shadedglass_active:14, Red Shaded Glass
witchery:shadedglass_active:15, Black Shaded Glass
witchery:mirrorwall, Mirror Surface
witchery:refillingchest, Chest
witchery:force, Solid
witchery:tormentstone, Torment Stone
witchery:barrier, Barrier
witchery:leechchest, Leech Chest
witchery:altar, Altar
witchery:kettle, Kettle
witchery:poppetshelf, Poppet Shelf
witchery:dreamcatcher, Dream Weaver
witchery:crystalball, Crystal Ball
witchery:spiritportal, Spirit Portal
witchery:tormentportal, Torment Portal
witchery:spinningwheel, Spinning Wheel
witchery:brazier, Brazier
witchery:witchesovenidle, Witches Oven
witchery:witchesovenburning, Witches Oven
witchery:fumefunnel, Fume Funnel
witchery:filteredfumefunnel, Filtered Fume Funnel
witchery:distilleryidle, Distillery
witchery:distilleryburning, Distillery
witchery:scarecrow, Scarecrow
witchery:trent, Trent Effigy
witchery:witchsladder, Witch's Ladder
witchery:decurseteleport, Statue of Occluded Summons
witchery:decursedirected, Statue of Broken Curses
witchery:statueofworship, Statue of Hobgoblin Patron
witchery:cauldron, Witch's Cauldron
witchery:wolfaltar, Wolf Altar
witchery:silvervat, Silver Vat
witchery:beartrap, Beartrap
witchery:wolftrap, Wolftrap
witchery:wallgen, tile.witchery:wallgen.name
witchery:coffinblock, Coffin
witchery:light, tile.witchery:light.name
